id,encounter_date,reported_date,year,month,hour,season,country_code,country,region,locale,latitude,longitude,ufo_shape,duration_secs,description
46042,2003-05-07 17:00:00,2003-05-09,2003,May,17,Spring,,,,,54.525961,15.255119,Unknown,5.0,radar warning
46080,2007-05-07 00:10:00,2007-06-12,2007,May,0,Spring,,,,,-14.599413,-28.673147,Light,45.0,two orange lights seen over the atlantic ocean
46337,2003-05-09 17:00:00,2003-05-27,2003,May,17,Spring,,,,,-14.599413,-28.673147,Cylinder,1800.0,huge cylindrical object paced airliner for at least half an hour off the coast of portugal.
47319,1982-06-01 01:00:00,2011-12-12,1982,June,1,Summer,,,,,-14.599413,-28.673147,Circle,300.0,(6) six glowing green circles/discs below surface of mid- atlantic observed by navy destroyer.
47713,1998-06-01 21:45:00,2003-03-21,1998,June,21,Summer,,,,,26.750534,51.683427,Light,30.0,light going back and forth and left to right very smoothly across the sky.
48596,1957-06-15 02:30:00,2002-03-19,1957,June,2,Summer,,,,,-14.599413,-28.673147,,120.0,
48753,1975-06-15 02:00:00,2004-03-17,1975,June,2,Summer,,,,,14.540111,-74.967637,Unknown,1200.0,moving black mass at sea level in the caribbean.
48864,1980-06-15 00:00:00,2003-09-04,1980,June,0,Summer,,,,,14.540111,-74.967637,,1209600.0,u.s. navy destroyer escort dispatched to puerto rico to observe unknown underwater contact which remained undetermined.
49116,1998-06-15 04:15:00,1998-11-21,1998,June,4,Summer,,Netherlands,,,53.219384,6.566502,Sphere,900.0,my sister was driving with four people to home(it was morning). than they saw that something was following them a whole time in the sky
49269,2004-06-15 14:24:00,2005-04-16,2004,June,14,Summer,,,,,-8.783195,-124.508523,Oval,30.0,an oval shaped ship with a metallic color shot away from our plane with speed not seen before.
51675,2001-06-25 21:10:00,2001-08-05,2001,June,21,Summer,,,,,-14.599413,-28.673147,Oval,45.0,pilot report of a bright light
51822,2012-06-25 22:00:00,2013-07-03,2012,June,22,Summer,,,,,-14.599413,-28.673147,Circle,2700.0,glowing orange ufo at sea.
52320,2009-06-28 19:30:00,2010-04-13,2009,June,19,Summer,,,,,-14.599413,-28.673147,Triangle,30.0,3 bright red triangle shaped lights over deep atlantic ocean waters near puerto rico
52527,2012-06-29 00:30:00,2012-07-04,2012,June,0,Summer,,United Kingdom,,,50.85,0.6,Light,45.0,orange orb spotted by two 50+ year old men on the south coast ( hastings ) united kingdom
52627,1959-06-30 02:30:00,2010-11-21,1959,June,2,Summer,,,,,35.746512,-39.462891,Unknown,1800.0,unidentified radar contact over atlantic ocean
52819,1983-06-30 19:00:00,2010-11-21,1983,June,19,Summer,,,,,14.540111,-74.967637,Sphere,15.0,3 maroon brown sphere-like objects in perfect line moving forward with 2 second interval per hop.
53146,2008-06-30 22:00:00,2014-05-02,2008,June,22,Summer,,,,,-8.783195,-124.508523,Unknown,420.0,two sailors notice air contact while on watch that was not showing up on radar.
53189,2010-06-30 23:45:00,2010-07-06,2010,June,23,Summer,,Netherlands,,,51.921667,4.481111,Light,180.0,fast moving 'star'?
53284,1999-06-03 03:30:00,2001-10-12,1999,June,3,Summer,,,,,-8.783195,-124.508523,Oval,3.0,ufo buzzed endeavor/iss complex.
